Day,moe,Biden,Trump,Spread
1,3,49,41,8
2,2.8,51,41,10
3,3.6,49,40,9
4,3.2,43,39,4
5,3.4,49,40,9
6,1.6,49,41,8
7,3.5,52,44,8
8,3.5,47,38,9
9,0,56,44,12
10,3.5,50,41,9
11,3.4,49,41,8
12,3.6,55,41,14
13,2.6,48,41,7
14,4,53,43,10
15,3,48,40,8
16,2.6,48,45,3
17,3.2,42,41,1
18,3.4,47,43,4
19,3.7,51,46,5
20,3.3,46,42,4
21,2.5,47,44,3
22,2.5,49,43,6
23,2.8,48,42,6
24,3,50,40,10
25,3.4,48,42,6
26,3.3,49,42,7
27,3.6,48,44,4
28,3.2,47,41,6
29,2,55,45,10
30,3.4,46,42,4
31,3.6,48,45,3
32,3.5,48,41,7
33,3.3,52,43,9
34,2.9,47,43,4
35,3.5,53,43,10
36,0,55,45,10
37,3,49,41,8
38,1.2,47,45,2
39,4,52,45,7
40,2.5,50,43,7
41,3.1,50,44,6
42,2.8,50,50,0
43,3.6,53,44,9
44,3.3,48,46,2
45,2.7,52,48,4
46,4,49,44,5
47,3,48,41,7
48,1.7,52,39,13
49,2.9,49,51,-2
50,3.7,50,41,9
51,3,51,49,2
52,2.1,52,41,11
53,3,50,40,10
54,3.5,51,44,7
55,3,43,47,-4
56,3,50,49,1
57,3,52,38,14
58,1.6,49,41,8
59,4,55,40,15
60,3.5,54,42,12
61,2.5,54,46,8
62,4.6,54,38,16
63,3,50,38,12
64,1.6,50,42,8
65,3.5,54,41,13
66,2.7,51,49,2
67,3,49,39,10
68,3.5,51,42,9
69,2.9,53,47,6
70,4,53,43,10
71,1.5,48,44,4
72,2.9,55,45,10
73,3,49,39,10
74,3.5,53,40,13
75,3,49,38,11
76,3,54,46,8
77,5.5,51,45,6
78,3.1,43,37,6
79,2,42,34,8
80,3.2,53,47,6
81,3.4,53,40,13
82,1.5,49,44,5
83,3,47,40,7
84,2.8,55,45,10
85,3.3,55,45,10
86,3.6,53,41,12
87,3.8,53,39,14
88,3.4,56,39,17
89,3.7,51,42,9
90,3.8,57,40,17
91,3.3,54,40,14
92,4.1,56,38,18
93,3.4,51,42,9
94,3.3,53,40,13
95,3.3,51,39,12
96,3.4,54,39,15
97,3.4,54,41,13
98,3.7,54,40,14
99,3.9,54,40,14
100,3.8,54,40,14
